ID,Produto,Categoria,Preço,Quantidade,Data
e93a6871-b5ee-457b-970a-ed973fdb000b,Fone de Ouvido JBL,Acessórios,204,13,10/06/2023
09c5d831-399a-40d2-b7a6-5df958b04fb3,Câmera Sony,Fotografia,8106,5,13/05/2023
5333582f-75a1-4f8e-a9df-f12609eb50d4,Fone de Ouvido JBL,Acessórios,298,7,08/03/2023
98bb55ee-a55c-4148-9ffc-606e2a9b81ae,iPhone 14 Pro,Smartphones,8323,12,10/04/2023
ff447a4f-6148-4667-aa8c-e3fab67a3e1e,Samsung Galaxy S23,Smartphones,4923,20,21/07/2023
5585735d-03b9-4d69-9067-900ef60da5c5,Teclado Mecânico Razer,Acessórios,780,15,29/06/2023
ef66c19c-09db-4c42-b65e-e59014d31bc7,MacBook Air,Laptops,8391,17,02/01/2023
2b6b18af-c713-45b2-ac25-520f41e24f7e,Smart TV LG 4K 55'',Eletrônicos,3711,20,04/02/2023
82abb0a3-898a-4bf0-bb85-ba01e6e4a2a3,Fone de Ouvido JBL,Acessórios,214,7,08/09/2023
85761ca7-56fe-4765-8fd0-4babfb52f115,Caixa de Som JBL,Áudio,1662,7,23/02/2023
e0f6a520-7247-4b0e-a004-6be5471ed62c,Teclado Mecânico Razer,Acessórios,609,3,28/07/2023
49c5370f-f86e-47b5-8f5e-66a1f5728dd6,Smart TV LG 4K 55'',Eletrônicos,3633,2,23/06/2023
e21eb6ed-8f83-4271-98b8-92716628b48e,Câmera Sony,Fotografia,8592,15,14/10/2023
f08832d2-0a29-46d4-bd99-af3ec2593587,Fone de Ouvido JBL,Acessórios,353,4,02/11/2023
c92e77bc-09fb-45e6-9136-2a7c1e48ac43,Caixa de Som JBL,Áudio,1895,9,29/09/2023
e7ff6afe-b422-4a73-8233-ce2c63515020,iPhone 14 Pro,Smartphones,7576,4,31/05/2023
eb30b83c-0104-41ca-885c-f3ed0de056f3,Fone de Ouvido JBL,Acessórios,302,19,07/03/2023
d046660f-4561-4b51-94d2-fb51151d5d15,iPhone 14 Pro,Smartphones,8772,15,22/08/2023
1c9342fe-5475-4794-a934-45c3b52a228e,Caixa de Som JBL,Áudio,1962,8,27/04/2023
